取引先コード,得意先名,取引日付,取引区分,伝票番号,行,商品コード,商品名,数量,単価,金額
0026,㈱丸浦建設,2005/06/24,10,1,1,0006,一般家電－－－－－－－－－－－－－－－－－０００６,12,6030,72360
0026,㈱丸浦建設,2005/06/24,10,1,2,0045,米－－－－－－－－－－－－－－－－－－－－００４５,11,7260,79860
0026,㈱丸浦建設,2005/06/24,10,1,3,0026,貴金属－－－－－－－－－－－－－－－－－－００２６,13,9760,126880
0032,森内商店株式会社,2005/07/04,10,2,1,0034,清涼飲料水－－－－－－－－－－－－－－－－００３４,6,400,2400
0032,森内商店株式会社,2005/07/04,10,2,2,0013,一般衣類－－－－－－－－－－－－－－－－－００１３,17,8420,143140
0032,森内商店株式会社,2005/07/04,10,2,3,0036,一般家電－－－－－－－－－－－－－－－－－００３６,12,9150,109800
0032,森内商店株式会社,2005/07/04,10,2,4,0026,貴金属－－－－－－－－－－－－－－－－－－００２６,8,9760,78080
0017,株式会社丸中システム,2005/08/29,10,3,1,0009,果物－－－－－－－－－－－－－－－－－－－０００９,7,5300,37100
0002,㈱木田商店,2005/09/04,10,4,1,0020,風邪薬－－－－－－－－－－－－－－－－－－００２０,5,2300,11500
0002,㈱木田商店,2005/09/04,10,4,2,0062,家具－－－－－－－－－－－－－－－－－－－００６２,4,2850,11400
0002,㈱木田商店,2005/09/04,10,4,3,0063,パソコン周辺機器－－－－－－－－－－－－－００６３,11,1420,15620
0002,㈱木田商店,2005/09/04,10,4,4,0025,ドリンク－－－－－－－－－－－－－－－－－００２５,3,3640,10920
0008,株式会社杉尾コーポレーション,2005/08/08,10,5,1,0003,発泡酒－－－－－－－－－－－－－－－－－－０００３,4,2330,9320
0025,山高商店株式会社,2005/06/23,10,6,1,0074,インスタントラーメン－－－－－－－－－－－００７４,10,9800,98000
0025,山高商店株式会社,2005/06/23,10,6,2,0033,貴金属－－－－－－－－－－－－－－－－－－００３３,15,8770,131550
0025,山高商店株式会社,2005/06/23,10,6,3,0100,発泡酒－－－－－－－－－－－－－－－－－－０１００,10,4790,47900
0039,株式会社森本商店,2005/06/20,10,7,1,0016,一般衣類－－－－－－－－－－－－－－－－－００１６,13,5310,69030
0042,㈱川鈴商店,2005/06/23,10,8,1,0011,スポーツ用品－－－－－－－－－－－－－－－００１１,15,680,10200
0042,㈱川鈴商店,2005/06/23,10,8,2,0083,電池－－－－－－－－－－－－－－－－－－－００８３,8,2350,18800
0035,㈱本岡商事,2005/06/17,10,9,1,0090,消臭剤－－－－－－－－－－－－－－－－－－００９０,17,3650,62050
