郵便番号,都道府県名カナ,市区町村名カナ,町域名カナ,都道府県名,市区町村名,町域名
5340000,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,大阪府,大阪市都島区,以下に掲載がない場合
5340026,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ,ｱﾐｼﾞﾏﾁｮｳ,大阪府,大阪市都島区,網島町
5340013,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ,ｳﾁﾝﾀﾞｲﾁｮｳ,大阪府,大阪市都島区,内代町
5340025,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ,ｶﾀﾏﾁ,大阪府,大阪市都島区,片町
5340001,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ,ｹﾏﾁｮｳ,大阪府,大阪市都島区,毛馬町
5340015,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ,ｾﾞﾝｹﾞﾝｼﾞﾁｮｳ,大阪府,大阪市都島区,善源寺町
5340002,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ,ﾀﾞｲﾄｳﾁｮｳ,大阪府,大阪市都島区,大東町
5340011,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ,ﾀｶｸﾗﾁｮｳ,大阪府,大阪市都島区,高倉町
5340016,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ,ﾄﾓﾌﾞﾁﾁｮｳ,大阪府,大阪市都島区,友渕町
5340027,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ,ﾅｶﾉﾁｮｳ,大阪府,大阪市都島区,中野町
5340024,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ,ﾋｶﾞｼﾉﾀﾞﾏﾁ,大阪府,大阪市都島区,東野田町
5340022,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ,ﾐﾔｺｼﾞﾏﾅｶﾄﾞｵﾘ,大阪府,大阪市都島区,都島中通
5340021,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ,ﾐﾔｺｼﾞﾏﾎﾝﾄﾞｵﾘ,大阪府,大阪市都島区,都島本通
