取引区分,伝票番号,行,取引日付,取引先コード,商品コード,数量,単価,金額,更新済
10,1,1,2005/06/24,0026,0006,12,6030,72360,
10,1,2,2005/06/24,0026,0045,11,7260,79860,
10,1,3,2005/06/24,0026,0026,13,9760,126880,
10,2,1,2005/07/04,0032,0034,6,400,2400,
10,2,2,2005/07/04,0032,0013,17,8420,143140,
10,2,3,2005/07/04,0032,0036,12,9150,109800,
10,2,4,2005/07/04,0032,0026,8,9760,78080,
10,3,1,2005/08/29,0017,0009,7,5300,37100,
10,4,1,2005/09/04,0002,0020,5,2300,11500,
10,4,2,2005/09/04,0002,0062,4,2850,11400,
10,4,3,2005/09/04,0002,0063,11,1420,15620,
10,4,4,2005/09/04,0002,0025,3,3640,10920,
10,5,1,2005/08/08,0008,0003,4,2330,9320,
10,6,1,2005/06/23,0025,0074,10,9800,98000,
10,6,2,2005/06/23,0025,0033,15,8770,131550,
10,6,3,2005/06/23,0025,0100,10,4790,47900,
10,7,1,2005/06/20,0039,0016,13,5310,69030,
10,8,1,2005/06/23,0042,0011,15,680,10200,
10,8,2,2005/06/23,0042,0083,8,2350,18800,
10,9,1,2005/06/17,0035,0090,17,3650,62050,
10,9,2,2005/06/17,0035,0023,18,7170,129060,
10,9,3,2005/06/17,0035,0084,3,4940,14820,
10,10,1,2005/06/09,0005,0023,2,7170,14340,
10,11,1,2005/07/31,0025,0061,1,7120,7120,
10,11,2,2005/07/31,0025,0046,2,3880,7760,
10,12,1,2005/07/25,0030,0049,5,650,3250,
10,12,2,2005/07/25,0030,0100,7,4790,33530,
10,12,3,2005/07/25,0030,0046,19,3880,73720,
10,12,4,2005/07/25,0030,0045,16,7260,116160,
10,13,1,2005/06/13,0012,0009,5,5300,26500,
10,13,2,2005/06/13,0012,0005,5,4230,21150,
10,13,3,2005/06/13,0012,0040,15,4730,70950,
10,13,4,2005/06/13,0012,0060,18,2970,53460,
10,14,1,2005/08/19,0032,0098,6,3970,23820,
10,14,2,2005/08/19,0032,0032,12,4660,55920,
10,14,3,2005/08/19,0032,0096,19,6250,118750,
10,15,1,2005/08/12,0017,0051,2,2250,4500,
10,16,1,2005/06/29,0018,0086,5,10140,50700,
10,16,2,2005/06/29,0018,0008,8,610,4880,
10,16,3,2005/06/29,0018,0077,20,8350,167000,
10,16,4,2005/06/29,0018,0065,10,2630,26300,
10,17,1,2005/06/28,0012,0075,4,5910,23640,
10,17,2,2005/06/28,0012,0071,3,10050,30150,
10,17,3,2005/06/28,0012,0028,10,1780,17800,
10,18,1,2005/07/02,0045,0066,18,4950,89100,
10,18,2,2005/07/02,0045,0034,7,400,2800,
10,18,3,2005/07/02,0045,0087,17,4030,68510,
10,19,1,2005/08/23,0043,0051,8,2250,18000,
10,19,2,2005/08/23,0043,0065,3,2630,7890,
10,19,3,2005/08/23,0043,0024,16,8370,133920,
10,20,1,2005/06/07,0019,0071,10,10050,100500,
10,21,1,2005/08/12,0023,0080,16,7460,119360,
10,21,2,2005/08/12,0023,0058,8,9710,77680,
10,22,1,2005/06/10,0029,0037,13,5850,76050,
10,22,2,2005/06/10,0029,0061,11,7120,78320,
10,23,1,2005/08/10,0004,0068,15,6820,102300,
10,23,2,2005/08/10,0004,0084,13,4940,64220,
10,24,1,2005/06/07,0034,0097,13,8300,107900,
10,24,2,2005/06/07,0034,0055,16,1940,31040,
10,24,3,2005/06/07,0034,0024,13,8370,108810,
10,24,4,2005/06/07,0034,0050,11,4750,52250,
10,25,1,2005/07/07,0017,0045,17,7260,123420,
10,25,2,2005/07/07,0017,0037,2,5850,11700,
10,26,1,2005/08/06,0033,0045,1,7260,7260,
10,26,2,2005/08/06,0033,0045,16,7260,116160,
10,26,3,2005/08/06,0033,0057,11,4020,44220,
10,26,4,2005/08/06,0033,0085,11,8890,97790,
10,27,1,2005/08/27,0019,0012,15,2360,35400,
10,28,1,2005/06/13,0012,0044,8,6500,52000,
10,29,1,2005/08/03,0043,0097,20,8300,166000,
10,29,2,2005/08/03,0043,0056,9,7240,65160,
10,29,3,2005/08/03,0043,0061,13,7120,92560,
10,30,1,2005/06/23,0043,0055,1,1940,1940,
10,30,2,2005/06/23,0043,0015,17,1820,30940,
10,31,1,2005/07/17,0040,0008,5,610,3050,
10,31,2,2005/07/17,0040,0003,6,2330,13980,
10,32,1,2005/07/08,0027,0007,14,4320,60480,
10,32,2,2005/07/08,0027,0069,5,5150,25750,
10,32,3,2005/07/08,0027,0047,16,8740,139840,
10,32,4,2005/07/08,0027,0084,18,4940,88920,
10,33,1,2005/07/16,0013,0077,18,8350,150300,
10,33,2,2005/07/16,0013,0018,9,7030,63270,
10,34,1,2005/07/02,0009,0001,16,8820,141120,
10,34,2,2005/07/02,0009,0052,18,3360,60480,
10,34,3,2005/07/02,0009,0093,14,2960,41440,
10,35,1,2005/09/05,0010,0086,20,10140,202800,
10,35,2,2005/09/05,0010,0075,2,5910,11820,
10,36,1,2005/07/05,0012,0010,16,580,9280,
10,37,1,2005/08/08,0046,0092,14,8280,115920,
10,38,1,2005/08/18,0013,0059,2,7920,15840,
10,38,2,2005/08/18,0013,0050,16,4750,76000,
