請求先,経過月,当月売上金額,更新日,組織コード
0035,8,1218160,2007/06/13 14:08:21,
0007,8,339590,2007/06/13 14:08:21,
0030,8,178550,2007/06/13 14:08:21,
0050,8,583110,2007/06/13 14:08:21,
0024,8,420280,2007/06/13 14:08:21,
0008,8,614910,2007/06/13 14:08:21,
0041,8,485670,2007/06/13 14:08:21,
0031,8,262170,2007/06/13 14:08:21,
0004,8,196260,2007/06/13 14:08:21,
0026,8,734700,2007/06/13 14:08:21,
0038,8,94440,2007/06/13 14:08:21,
0009,8,62660,2007/06/13 14:08:21,
0044,8,423870,2007/06/13 14:08:21,
0029,8,2400,2007/06/13 14:08:21,
0047,8,794780,2007/06/13 14:08:21,
0015,8,365210,2007/06/13 14:08:21,
0021,8,467680,2007/06/13 14:08:21,
0011,8,359470,2007/06/13 14:08:21,
0010,8,34100,2007/06/13 14:08:21,
0043,8,399020,2007/06/13 14:08:21,
0006,8,200640,2007/06/13 14:08:21,
0019,8,695380,2007/06/13 14:08:21,
0042,8,782740,2007/06/13 14:08:21,
0048,8,637550,2007/06/13 14:08:21,
0025,8,237820,2007/06/13 14:08:21,
0032,8,384920,2007/06/13 14:08:21,
0014,8,232120,2007/06/13 14:08:21,
0005,8,400780,2007/06/13 14:08:21,
0002,8,62160,2007/06/13 14:08:21,
0001,8,75160,2007/06/13 14:08:21,
0040,8,624670,2007/06/13 14:08:21,
0033,8,548950,2007/06/13 14:08:21,
0013,8,173860,2007/06/13 14:08:21,
0022,8,184760,2007/06/13 14:08:21,
0036,8,523630,2007/06/13 14:08:21,
0049,8,610820,2007/06/13 14:08:21,
0046,8,369630,2007/06/13 14:08:21,
0039,8,538520,2007/06/13 14:08:21,
0003,8,479730,2007/06/13 14:08:21,
0034,8,395760,2007/06/13 14:08:21,
0028,8,433430,2007/06/13 14:08:21,
0020,8,8450,2007/06/13 14:08:21,
0018,8,266680,2007/06/13 14:08:21,
0027,8,222120,2007/06/13 14:08:21,
0023,8,465210,2007/06/13 14:08:21,
0037,8,185570,2007/06/13 14:08:21,
0012,8,372320,2007/06/13 14:08:21,
0017,8,99790,2007/06/13 14:08:21,
0045,8,112800,2007/06/13 14:08:21,
